as_of,index_name,code
2023-06-30,zz500,600348
2023-06-30,zz500,600350
2023-06-30,zz500,600352
2023-06-30,zz500,600369
2023-06-30,zz500,600372
2023-06-30,zz500,600373
2023-06-30,zz500,600377
2023-06-30,zz500,600378
2023-06-30,zz500,600380
2023-06-30,zz500,600390
2023-06-30,zz500,600392
2023-06-30,zz500,600398
2023-06-30,zz500,600399
2023-06-30,zz500,600409
2023-06-30,zz500,600415
2023-06-30,zz500,600416
2023-06-30,zz500,600418
2023-06-30,zz500,600435
2023-06-30,zz500,600481
2023-06-30,zz500,600482
2023-06-30,zz500,600486
2023-06-30,zz500,600487
2023-06-30,zz500,600489
2023-06-30,zz500,600497
2023-06-30,zz500,600498
2023-06-30,zz500,600499
2023-06-30,zz500,600500
2023-06-30,zz500,600507
2023-06-30,zz500,600511
2023-06-30,zz500,600516
2023-06-30,zz500,600517
2023-06-30,zz500,600521
2023-06-30,zz500,600528
2023-06-30,zz500,600529
2023-06-30,zz500,600535
2023-06-30,zz500,600536
2023-06-30,zz500,600546
2023-06-30,zz500,600549
2023-06-30,zz500,600556
2023-06-30,zz500,600563
2023-06-30,zz500,600566
2023-06-30,zz500,600580
2023-06-30,zz500,600582
2023-06-30,zz500,600597
2023-06-30,zz500,600598
2023-06-30,zz500,600623
2023-06-30,zz500,600637
2023-06-30,zz500,600642
2023-06-30,zz500,600655
2023-06-30,zz500,600663
2023-06-30,zz500,600667
2023-06-30,zz500,600673
2023-06-30,zz500,600699
2023-06-30,zz500,600704
2023-06-30,zz500,600705
2023-06-30,zz500,600707
2023-06-30,zz500,600718
2023-06-30,zz500,600737
2023-06-30,zz500,600739
2023-06-30,zz500,600755
2023-06-30,zz500,600764
2023-06-30,zz500,600765
2023-06-30,zz500,600782
2023-06-30,zz500,600801
2023-06-30,zz500,600808
2023-06-30,zz500,600820
2023-06-30,zz500,600827
2023-06-30,zz500,600839
2023-06-30,zz500,600848
2023-06-30,zz500,600859
2023-06-30,zz500,600862
2023-06-30,zz500,600863
2023-06-30,zz500,600867
2023-06-30,zz500,600871
2023-06-30,zz500,600873
2023-06-30,zz500,600879
2023-06-30,zz500,600885
2023-06-30,zz500,600895
2023-06-30,zz500,600901
2023-06-30,zz500,600906
2023-06-30,zz500,600909
2023-06-30,zz500,600927
2023-06-30,zz500,600928
2023-06-30,zz500,600956
2023-06-30,zz500,600959
2023-06-30,zz500,600967
2023-06-30,zz500,600968
2023-06-30,zz500,600970
2023-06-30,zz500,600985
2023-06-30,zz500,600988
2023-06-30,zz500,600995
2023-06-30,zz500,600998
2023-06-30,zz500,601000
2023-06-30,zz500,601005
2023-06-30,zz500,601016
2023-06-30,zz500,601058
2023-06-30,zz500,601077
2023-06-30,zz500,601098
2023-06-30,zz500,601106
2023-06-30,zz500,601108
2023-06-30,zz500,601118
2023-06-30,zz500,601128
2023-06-30,zz500,601136
2023-06-30,zz500,601139
2023-06-30,zz500,601156
2023-06-30,zz500,601158
2023-06-30,zz500,601162
2023-06-30,zz500,601168
2023-06-30,zz500,601179
2023-06-30,zz500,601187
2023-06-30,zz500,601198
2023-06-30,zz500,601228
2023-06-30,zz500,601231
2023-06-30,zz500,601233
2023-06-30,zz500,601298
2023-06-30,zz500,601456
2023-06-30,zz500,601555
2023-06-30,zz500,601568
2023-06-30,zz500,601577
2023-06-30,zz500,601598
2023-06-30,zz500,601608
2023-06-30,zz500,601611
2023-06-30,zz500,601636
2023-06-30,zz500,601665
2023-06-30,zz500,601666
2023-06-30,zz500,601696
2023-06-30,zz500,601717
2023-06-30,zz500,601718
2023-06-30,zz500,601778
2023-06-30,zz500,601828
2023-06-30,zz500,601866
2023-06-30,zz500,601869
2023-06-30,zz500,601880
2023-06-30,zz500,601928
2023-06-30,zz500,601958
2023-06-30,zz500,601966
2023-06-30,zz500,601969
2023-06-30,zz500,601990
2023-06-30,zz500,601991
2023-06-30,zz500,601992
2023-06-30,zz500,601997
2023-06-30,zz500,603000
2023-06-30,zz500,603026
2023-06-30,zz500,603056
2023-06-30,zz500,603077
2023-06-30,zz500,603127
2023-06-30,zz500,603156
2023-06-30,zz500,603160
2023-06-30,zz500,603218
2023-06-30,zz500,603225
2023-06-30,zz500,603228
2023-06-30,zz500,603233
2023-06-30,zz500,603267
2023-06-30,zz500,603317
2023-06-30,zz500,603338
2023-06-30,zz500,603355
2023-06-30,zz500,603379
2023-06-30,zz500,603444
2023-06-30,zz500,603456
2023-06-30,zz500,603517
2023-06-30,zz500,603529
2023-06-30,zz500,603568
2023-06-30,zz500,603589
2023-06-30,zz500,603596
2023-06-30,zz500,603638
2023-06-30,zz500,603650
2023-06-30,zz500,603658
2023-06-30,zz500,603688
2023-06-30,zz500,603707
2023-06-30,zz500,603712
2023-06-30,zz500,603737
2023-06-30,zz500,603786
2023-06-30,zz500,603816
2023-06-30,zz500,603826
2023-06-30,zz500,603858
2023-06-30,zz500,603866
2023-06-30,zz500,603868
2023-06-30,zz500,603882
2023-06-30,zz500,603883
2023-06-30,zz500,603885
2023-06-30,zz500,603893
2023-06-30,zz500,603927
2023-06-30,zz500,603939
2023-06-30,zz500,605358
2023-06-30,zz500,688002
2023-06-30,zz500,688006
2023-06-30,zz500,688009
2023-06-30,zz500,688029
2023-06-30,zz500,688052
2023-06-30,zz500,688072
2023-06-30,zz500,688082
